id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,gAAAAABn7S-fwC5kMpzoiMFoDbEg4lnEVVEbJ0GQf7_rM7LcW7x05RfK0sYcKUuINCgkmBqiWturJpTe95Sb7yHOFezYZWmePQuYAq38pu8eVpJRju5ii4M=,12/2022,gAAAAABn7S-fMf8nWYoTghVGnjnewLbiJMu_4Uxx86m7F2HdNgrMMA1J7rnNhDiYYLYlMASB_4f-QIO_iz90eBnN6gvwBiyjRA==,YES,2,$24295,09/2002,2008,No
2731,825,Visa,Debit,gAAAAABn7S-fB8a7Y8ZeZFwvipqTBZwaEPdX7E7IfWNf_Wr6lg1d7h1bpYT8ZqpXLxd4Wq7g4J8V7LyXTjg1deWj74yr0Rk2TSbh3kim9lw1J6V-WxhEqmc=,12/2020,gAAAAABn7S-fmyxCx3FFgXVTf-rl6LiCTs-KhSZx3_qgjoWRq9mv5UqH-2xpbr9EUxroZ92ciYDARqhdgSOq00aFJYBDdziE9Q==,YES,2,$21968,04/2014,2014,No
3701,825,Visa,Debit,gAAAAABn7S-fH-ZzyEGW70WTjEGIg9Ydu-YQerbAQc-CVQuwPAIxj9x6lRxQL9FIlZGZG6kuA6vidVCsCvrUM7bHyq0SvqzO2x8gzJcBIpuWrccFV7bQWuo=,02/2024,gAAAAABn7S-fpTX0906xou1hm6c1HflVKdF_Egh9vszMwvyUBfhokcYe8UJgWIFfhoOh8rftgw7D-sYvoePbXBsBdfUTtrgBYw==,YES,2,$46414,07/2003,2004,No
42,825,Visa,Credit,gAAAAABn7S-f4T279mmYrgK9DOA4Abqdahh2Vj__mBM0r-T2ef5iR2_PwdI-F-aOh10was-ldrfLi16Cv4rZK-29Hja1iRqMrzC1HIe3asPt6P_dcnadDhM=,08/2024,gAAAAABn7S-fWaREqAs-Ou044BHclz_7WzUdggBUioiFS-hl-c0fJW8nCfifWtIj4EbaCfROm0hH9LPABaq-X5lVOjJ7KAIcGQ==,NO,1,$12400,01/2003,2012,No
4659,825,Mastercard,Debit (Prepaid),gAAAAABn7S-fi2sYxAc5XYibX3soLcEWjRwumwP0_JUB8pMiCmWsmQiceqgpsiwuwTUQfjA_NJAlzhvE8ahIHAK5FNR1RMqEZIb0M2IhL97tOkHI1GcrhqI=,03/2009,gAAAAABn7S-fBeG9IK0zqqQvB7kKUeR7hI6dJPqOihpA4FCqW4OeBKzRAYgvTdAlry3f1pZycf1SD79cEcpOW9WswfGNIudmcg==,YES,1,$28,09/2008,2009,No
4537,1746,Visa,Credit,gAAAAABn7S-ff_3V3uVfJA0wSBesz6qv3G5chMcyOhujiFRK1rD47_CPJ6gxadigGYP8vYOiexii2kB49SfBUaCwMtEBSe8rhklmKOd8IIdBiLCkVznR9Fs=,09/2003,gAAAAABn7S-fyDxCs37ilXaXqJmSAPfo3M8bhf8qzmP8Ld62qanlN06YekGIuTNTGnDTZl58U-FTGEZnXpacC_7-jeAg6FUqmg==,YES,1,$27500,09/2003,2012,No
1278,1746,Visa,Debit,gAAAAABn7S-fjcj3dHbrrNEWyCh-t7nW7V9C-vWu-MonAV-vE8iqhw9kWizQiMxBOoSRr2C_zTY4GpMJgvatVrBtqNQWx23JEVpGw53sjdlZ4jI4sXpuPaY=,07/2022,gAAAAABn7S-fdH0v02nmc6n1wJsuie7LxPS04Xw_IqZ4J2Ja6BodxTSjo1r7lcNYdDoWQ2LdAy07T5FIPNsbjMl3XgTN9bmOTQ==,YES,2,$28508,02/2011,2011,No
3687,1746,Mastercard,Debit,gAAAAABn7S-fAIJHBDw0-lXz4qqc8QZYpcWi2HU0U6M9z69XvdOma5QAkCUv9TVvKq8p80rxaLd2bqPNAyMp2HeSooYvGw5-tU3c8Kdw-KPgdYiWj02pc-s=,06/2022,gAAAAABn7S-fKmfvmVKyP8ksnyNAJ4v9_gJgVtHHSabJJfur4QB1soOC48sOD2tGxp5b5u31rpforI4SFdLK_FResRFsvS5sGA==,YES,2,$9022,07/2003,2015,No
3465,1746,Mastercard,Debit (Prepaid),gAAAAABn7S-fzn0N4mmkZthJP2PGelp6mk_CggyIMXJSjZgdyod_iR7X9dr1-H52gST_D7WeXndank6BiDqnI_FoUJQbUNRFpF3o1fl90USTQ0QnmfS8q9M=,11/2020,gAAAAABn7S-fYTah1cVPYyRzE5tp5Mo91yCH2u5lPAqiTy34kqS2203CKcGeneRg1Z9GPsd8a6lmAkrKH8vg74xOcTr6bzx8Gg==,YES,2,$54,06/2010,2015,No
3754,1746,Mastercard,Debit (Prepaid),gAAAAABn7S-fJwPu3XOT_SuCvVwpp-yQ6kb24DZlx1qR-qsYded5Zr9VLMKKKwg17LeZsfwLDyVZwSNPGJ9L8yKHxMidU0hbzttNMOcSu5SdwW6MWCk7Aug=,02/2023,gAAAAABn7S-fLerlCKw30qZICJfnkzwD0GLxcxf6rHcRmHtDlir0wz82I8mhKLRh_v4TOw_TQJHZ_IfrkR98HBXaf5DMu53PeA==,YES,1,$99,07/2006,2012,No
5144,1718,Mastercard,Debit,gAAAAABn7S-fhgfP3PtWEdum97YbhdEbkj6nlesG2ZXw9tDFe8MMWnjCfcPlEyewSw_bsGfjvK6QEirkDJIWAUxiX0k2PCdA9cYNoMvNukdZSbhhqIoHO6I=,03/2022,gAAAAABn7S-f0vhH8OnFCfVwguT2SvyyD21q5511aM_29vKmZoW3qnegX3e4cgh7TAG-NLbFsy_rA1R-FRupXZOdj86K7iwq3w==,YES,2,$31599,10/2009,2009,No
2029,1718,Mastercard,Debit,gAAAAABn7S-fNMKUzDqUD_Cd-VnMZXQIo8dFoxvnswadp6UyPhploG2GxMDBzCg6-b5-MBlR5dnZK-ICli5WK6hBEyXu7cy1dDm11n7W-D-YMDaXSfnPq1Y=,07/2023,gAAAAABn7S-fS8FsbpFSaZUrUSCBgZAykZYxRsUToEuCv8Oea2pnwe4s9_DlM9CWr6msul6kIP_pFeflYFUV9D5HmfEFjyMghw==,NO,2,$27480,03/2002,2008,No
2379,1718,Mastercard,Debit,gAAAAABn7S-fNKslzD2ByzYbFvBq3NILlIM0XtW3GxqMzXA2G_G3vpO22PpIc-2ffmJSi8S2FtJR5lVAHJhhKJf5tRGSDbBX667PenEBZi3ArJJ6pKrVxQI=,02/2020,gAAAAABn7S-fkgQeGyzro6ox5ExtexKBU0dK-FLk94ljWOyoSYHGTYHKP7S6Kq6-q_lqCTib5e3-yBRZtvsS8aJuYes3hc8c_w==,YES,1,$26743,03/2019,2019,No
